country,total_cases,total_deaths,total_recovered,active_cases,population,continent
USA,37546672,643858,29571434,7331380,331002651,North America
India,32249900,432114,31437928,379858,1380004385,Asia
Brazil,20416183,570598,19297523,548062,212559417,South America
Russia,6600836,170499,5884998,545339,145934462,Europe
France,6471055,112835,5723197,635023,65273511,Europe
UK,6267780,131210,4940229,1196341,67886011,Europe
Turkey,6118830,53418,5558902,506510,84339067,Asia
Argentina,5124963,110217,4733981,280765,45195774,South America
Colombia,4843007,122601,4664996,55410,50882891,South America
Spain,4770453,83136,4287825,399492,46754778,Europe
Italy,4427827,128957,4175198,123672,60461826,Europe
Germany,3846796,92014,3660350,94432,83783942,Europe
Iran,4342032,97208,3662968,581856,83992949,Asia
Mexico,3098424,248380,2469209,380835,128932753,North America
Indonesia,3833981,117588,3324685,391708,273523615,Asia
Poland,2885895,75339,2656114,154442,37846611,Europe
South Africa,2582427,76631,2343133,162663,59308690,Africa
Philippines,1741616,30271,1614239,97106,109581078,Asia
Ukraine,2265912,53282,2193712,18918,43733762,Europe
Peru,2135827,197487,N/A,N/A,32971854,South America
